layer,cosine_similarity,example_id,filler_type,position_ratio,total_tokens,experiment
13,0.9259548,example_0000,natural,0.5,4096,bloat_sweep
14,0.9398439,example_0000,natural,0.5,4096,bloat_sweep
15,0.927577,example_0000,natural,0.5,4096,bloat_sweep
16,0.928759,example_0000,natural,0.5,4096,bloat_sweep
17,0.94601613,example_0000,natural,0.5,4096,bloat_sweep
18,0.94785774,example_0000,natural,0.5,4096,bloat_sweep
19,0.9267345,example_0000,natural,0.5,4096,bloat_sweep
20,0.9144884,example_0000,natural,0.5,4096,bloat_sweep
21,0.94308823,example_0000,natural,0.5,4096,bloat_sweep
22,0.9452996,example_0000,natural,0.5,4096,bloat_sweep
23,0.91899437,example_0000,natural,0.5,4096,bloat_sweep
0,0.9995396,example_0001,natural,0.5,4096,bloat_sweep
1,0.9985249,example_0001,natural,0.5,4096,bloat_sweep
2,0.99744415,example_0001,natural,0.5,4096,bloat_sweep
3,0.99472433,example_0001,natural,0.5,4096,bloat_sweep
4,0.9919408,example_0001,natural,0.5,4096,bloat_sweep
5,0.98286927,example_0001,natural,0.5,4096,bloat_sweep
6,0.9771601,example_0001,natural,0.5,4096,bloat_sweep
7,0.97751856,example_0001,natural,0.5,4096,bloat_sweep
8,0.973083,example_0001,natural,0.5,4096,bloat_sweep
9,0.97539353,example_0001,natural,0.5,4096,bloat_sweep
10,0.9712037,example_0001,natural,0.5,4096,bloat_sweep
11,0.9662305,example_0001,natural,0.5,4096,bloat_sweep
12,0.95175356,example_0001,natural,0.5,4096,bloat_sweep
13,0.93669343,example_0001,natural,0.5,4096,bloat_sweep
14,0.9482134,example_0001,natural,0.5,4096,bloat_sweep
15,0.9446939,example_0001,natural,0.5,4096,bloat_sweep
16,0.94722366,example_0001,natural,0.5,4096,bloat_sweep
17,0.9630457,example_0001,natural,0.5,4096,bloat_sweep
18,0.96797514,example_0001,natural,0.5,4096,bloat_sweep
19,0.95960695,example_0001,natural,0.5,4096,bloat_sweep
20,0.952868,example_0001,natural,0.5,4096,bloat_sweep
21,0.9604331,example_0001,natural,0.5,4096,bloat_sweep
22,0.9589242,example_0001,natural,0.5,4096,bloat_sweep
23,0.950446,example_0001,natural,0.5,4096,bloat_sweep
0,0.9992186,example_0002,natural,0.5,4096,bloat_sweep
1,0.9990523,example_0002,natural,0.5,4096,bloat_sweep
2,0.99809164,example_0002,natural,0.5,4096,bloat_sweep
3,0.9966019,example_0002,natural,0.5,4096,bloat_sweep
4,0.995138,example_0002,natural,0.5,4096,bloat_sweep
5,0.98863995,example_0002,natural,0.5,4096,bloat_sweep
6,0.98339045,example_0002,natural,0.5,4096,bloat_sweep
7,0.9812538,example_0002,natural,0.5,4096,bloat_sweep
8,0.97858506,example_0002,natural,0.5,4096,bloat_sweep
9,0.9811072,example_0002,natural,0.5,4096,bloat_sweep
10,0.97901195,example_0002,natural,0.5,4096,bloat_sweep
11,0.97594684,example_0002,natural,0.5,4096,bloat_sweep
12,0.9662677,example_0002,natural,0.5,4096,bloat_sweep
13,0.9538493,example_0002,natural,0.5,4096,bloat_sweep
14,0.9644004,example_0002,natural,0.5,4096,bloat_sweep
15,0.96098465,example_0002,natural,0.5,4096,bloat_sweep
16,0.95935696,example_0002,natural,0.5,4096,bloat_sweep
17,0.970395,example_0002,natural,0.5,4096,bloat_sweep
18,0.97751683,example_0002,natural,0.5,4096,bloat_sweep
19,0.97264457,example_0002,natural,0.5,4096,bloat_sweep
20,0.9832168,example_0002,natural,0.5,4096,bloat_sweep
21,0.9864809,example_0002,natural,0.5,4096,bloat_sweep
22,0.9864304,example_0002,natural,0.5,4096,bloat_sweep
23,0.98111784,example_0002,natural,0.5,4096,bloat_sweep
0,0.9995108,example_0003,natural,0.5,4096,bloat_sweep
1,0.99878883,example_0003,natural,0.5,4096,bloat_sweep
2,0.9975049,example_0003,natural,0.5,4096,bloat_sweep
3,0.99592054,example_0003,natural,0.5,4096,bloat_sweep
4,0.9945415,example_0003,natural,0.5,4096,bloat_sweep
5,0.9897635,example_0003,natural,0.5,4096,bloat_sweep
6,0.9868504,example_0003,natural,0.5,4096,bloat_sweep
7,0.98298776,example_0003,natural,0.5,4096,bloat_sweep
8,0.9828065,example_0003,natural,0.5,4096,bloat_sweep
9,0.98347056,example_0003,natural,0.5,4096,bloat_sweep
10,0.9821102,example_0003,natural,0.5,4096,bloat_sweep
11,0.97860795,example_0003,natural,0.5,4096,bloat_sweep
12,0.9618355,example_0003,natural,0.5,4096,bloat_sweep
13,0.94591296,example_0003,natural,0.5,4096,bloat_sweep
14,0.95548826,example_0003,natural,0.5,4096,bloat_sweep
15,0.9387039,example_0003,natural,0.5,4096,bloat_sweep
16,0.9384416,example_0003,natural,0.5,4096,bloat_sweep
17,0.9563937,example_0003,natural,0.5,4096,bloat_sweep
18,0.96529144,example_0003,natural,0.5,4096,bloat_sweep
19,0.96144855,example_0003,natural,0.5,4096,bloat_sweep
20,0.96258855,example_0003,natural,0.5,4096,bloat_sweep
21,0.96253985,example_0003,natural,0.5,4096,bloat_sweep
22,0.9585969,example_0003,natural,0.5,4096,bloat_sweep
23,0.94651693,example_0003,natural,0.5,4096,bloat_sweep
0,0.9994564,example_0004,natural,0.5,4096,bloat_sweep
1,0.9991164,example_0004,natural,0.5,4096,bloat_sweep
2,0.9984126,example_0004,natural,0.5,4096,bloat_sweep
3,0.99661726,example_0004,natural,0.5,4096,bloat_sweep
4,0.99480915,example_0004,natural,0.5,4096,bloat_sweep
5,0.9888125,example_0004,natural,0.5,4096,bloat_sweep
6,0.9837824,example_0004,natural,0.5,4096,bloat_sweep
7,0.98215646,example_0004,natural,0.5,4096,bloat_sweep
8,0.97964174,example_0004,natural,0.5,4096,bloat_sweep
9,0.9826324,example_0004,natural,0.5,4096,bloat_sweep
10,0.9798619,example_0004,natural,0.5,4096,bloat_sweep
11,0.97690535,example_0004,natural,0.5,4096,bloat_sweep
12,0.9646116,example_0004,natural,0.5,4096,bloat_sweep
13,0.9535722,example_0004,natural,0.5,4096,bloat_sweep
14,0.96425575,example_0004,natural,0.5,4096,bloat_sweep
15,0.9571665,example_0004,natural,0.5,4096,bloat_sweep
16,0.9661429,example_0004,natural,0.5,4096,bloat_sweep
17,0.97459906,example_0004,natural,0.5,4096,bloat_sweep
18,0.97910106,example_0004,natural,0.5,4096,bloat_sweep
19,0.97417325,example_0004,natural,0.5,4096,bloat_sweep
20,0.98328555,example_0004,natural,0.5,4096,bloat_sweep
21,0.9871516,example_0004,natural,0.5,4096,bloat_sweep
22,0.98643136,example_0004,natural,0.5,4096,bloat_sweep
23,0.9767989,example_0004,natural,0.5,4096,bloat_sweep
0,0.9995932,example_0005,natural,0.5,4096,bloat_sweep
1,0.99928916,example_0005,natural,0.5,4096,bloat_sweep
2,0.998668,example_0005,natural,0.5,4096,bloat_sweep
3,0.9974386,example_0005,natural,0.5,4096,bloat_sweep
4,0.9957843,example_0005,natural,0.5,4096,bloat_sweep
5,0.9893722,example_0005,natural,0.5,4096,bloat_sweep
6,0.98501706,example_0005,natural,0.5,4096,bloat_sweep
7,0.9828513,example_0005,natural,0.5,4096,bloat_sweep
8,0.9809037,example_0005,natural,0.5,4096,bloat_sweep
9,0.97977823,example_0005,natural,0.5,4096,bloat_sweep
10,0.976851,example_0005,natural,0.5,4096,bloat_sweep
11,0.974333,example_0005,natural,0.5,4096,bloat_sweep
12,0.94611,example_0005,natural,0.5,4096,bloat_sweep
13,0.9322998,example_0005,natural,0.5,4096,bloat_sweep
14,0.9391136,example_0005,natural,0.5,4096,bloat_sweep
15,0.93699515,example_0005,natural,0.5,4096,bloat_sweep
16,0.94120806,example_0005,natural,0.5,4096,bloat_sweep
17,0.9564887,example_0005,natural,0.5,4096,bloat_sweep
18,0.95446867,example_0005,natural,0.5,4096,bloat_sweep
19,0.94162333,example_0005,natural,0.5,4096,bloat_sweep
20,0.9527033,example_0005,natural,0.5,4096,bloat_sweep
21,0.95667124,example_0005,natural,0.5,4096,bloat_sweep
22,0.9554756,example_0005,natural,0.5,4096,bloat_sweep
23,0.9382101,example_0005,natural,0.5,4096,bloat_sweep
0,0.9995186,example_0006,natural,0.5,4096,bloat_sweep
1,0.9994015,example_0006,natural,0.5,4096,bloat_sweep
2,0.99881196,example_0006,natural,0.5,4096,bloat_sweep
3,0.997599,example_0006,natural,0.5,4096,bloat_sweep
4,0.99655694,example_0006,natural,0.5,4096,bloat_sweep
5,0.9906742,example_0006,natural,0.5,4096,bloat_sweep
6,0.9866266,example_0006,natural,0.5,4096,bloat_sweep
7,0.98550075,example_0006,natural,0.5,4096,bloat_sweep
8,0.9839683,example_0006,natural,0.5,4096,bloat_sweep
9,0.98503846,example_0006,natural,0.5,4096,bloat_sweep
10,0.98269004,example_0006,natural,0.5,4096,bloat_sweep
11,0.97802687,example_0006,natural,0.5,4096,bloat_sweep
12,0.9531104,example_0006,natural,0.5,4096,bloat_sweep
13,0.9403274,example_0006,natural,0.5,4096,bloat_sweep
14,0.95259964,example_0006,natural,0.5,4096,bloat_sweep
15,0.94915867,example_0006,natural,0.5,4096,bloat_sweep
16,0.9472952,example_0006,natural,0.5,4096,bloat_sweep
17,0.9608492,example_0006,natural,0.5,4096,bloat_sweep
18,0.9606694,example_0006,natural,0.5,4096,bloat_sweep
19,0.94300514,example_0006,natural,0.5,4096,bloat_sweep
20,0.94160044,example_0006,natural,0.5,4096,bloat_sweep
21,0.95873404,example_0006,natural,0.5,4096,bloat_sweep
22,0.95384455,example_0006,natural,0.5,4096,bloat_sweep
23,0.9356208,example_0006,natural,0.5,4096,bloat_sweep
0,0.99951506,example_0007,natural,0.5,4096,bloat_sweep
