layer,cosine_similarity,example_id,filler_type,sink_prefix_tokens,total_tokens,experiment
1,0.9995586,example_0004,natural,256,4096,sink_stress
2,0.99919605,example_0004,natural,256,4096,sink_stress
3,0.9990586,example_0004,natural,256,4096,sink_stress
4,0.9935657,example_0004,natural,256,4096,sink_stress
5,0.9689478,example_0004,natural,256,4096,sink_stress
6,0.9658841,example_0004,natural,256,4096,sink_stress
7,0.96022,example_0004,natural,256,4096,sink_stress
8,0.9575585,example_0004,natural,256,4096,sink_stress
9,0.9607092,example_0004,natural,256,4096,sink_stress
10,0.9583819,example_0004,natural,256,4096,sink_stress
11,0.9471994,example_0004,natural,256,4096,sink_stress
12,0.932131,example_0004,natural,256,4096,sink_stress
13,0.9294104,example_0004,natural,256,4096,sink_stress
14,0.9343363,example_0004,natural,256,4096,sink_stress
15,0.9450512,example_0004,natural,256,4096,sink_stress
16,0.94633615,example_0004,natural,256,4096,sink_stress
17,0.9590646,example_0004,natural,256,4096,sink_stress
18,0.9680371,example_0004,natural,256,4096,sink_stress
19,0.95971,example_0004,natural,256,4096,sink_stress
20,0.97025275,example_0004,natural,256,4096,sink_stress
21,0.9806245,example_0004,natural,256,4096,sink_stress
22,0.97973055,example_0004,natural,256,4096,sink_stress
23,0.96777457,example_0004,natural,256,4096,sink_stress
0,0.99990344,example_0005,natural,256,4096,sink_stress
1,0.99953735,example_0005,natural,256,4096,sink_stress
2,0.9993152,example_0005,natural,256,4096,sink_stress
3,0.99846697,example_0005,natural,256,4096,sink_stress
4,0.9935944,example_0005,natural,256,4096,sink_stress
5,0.97124416,example_0005,natural,256,4096,sink_stress
6,0.9686786,example_0005,natural,256,4096,sink_stress
7,0.9642791,example_0005,natural,256,4096,sink_stress
8,0.96164346,example_0005,natural,256,4096,sink_stress
9,0.9635009,example_0005,natural,256,4096,sink_stress
10,0.96095634,example_0005,natural,256,4096,sink_stress
11,0.95034814,example_0005,natural,256,4096,sink_stress
12,0.93679196,example_0005,natural,256,4096,sink_stress
13,0.9351696,example_0005,natural,256,4096,sink_stress
14,0.9358916,example_0005,natural,256,4096,sink_stress
15,0.9409536,example_0005,natural,256,4096,sink_stress
16,0.94209516,example_0005,natural,256,4096,sink_stress
17,0.9555231,example_0005,natural,256,4096,sink_stress
18,0.9663891,example_0005,natural,256,4096,sink_stress
19,0.9576195,example_0005,natural,256,4096,sink_stress
20,0.97067416,example_0005,natural,256,4096,sink_stress
21,0.9812916,example_0005,natural,256,4096,sink_stress
22,0.9818301,example_0005,natural,256,4096,sink_stress
23,0.9675561,example_0005,natural,256,4096,sink_stress
0,0.99983555,example_0006,natural,256,4096,sink_stress
1,0.99914503,example_0006,natural,256,4096,sink_stress
2,0.9985632,example_0006,natural,256,4096,sink_stress
3,0.99674773,example_0006,natural,256,4096,sink_stress
4,0.9923873,example_0006,natural,256,4096,sink_stress
5,0.9692513,example_0006,natural,256,4096,sink_stress
6,0.96879697,example_0006,natural,256,4096,sink_stress
7,0.96283615,example_0006,natural,256,4096,sink_stress
