layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,sink_prefix_tokens,total_tokens,experiment
9,1,2.5033950805664062e-06,0.2614309787750244,2.5027792767969002e-06,104430.57142857143,example_0000,natural,0,4096,sink_stress
9,2,8.344650268554688e-07,0.31234681606292725,8.344284212995722e-07,374307.85714285716,example_0000,natural,0,4096,sink_stress
9,3,6.794929504394531e-06,0.3657993674278259,6.795952306960528e-06,53834.166666666664,example_0000,natural,0,4096,sink_stress
9,4,9.953975677490234e-06,0.7476882934570312,9.955341648845413e-06,75114.53892215568,example_0000,natural,0,4096,sink_stress
9,5,5.960464477539063e-08,0.3830406069755554,5.9602491908663714e-08,6426355.0,example_0000,natural,0,4096,sink_stress
9,6,6.735324859619141e-06,0.11320006847381592,6.735963637718416e-06,16806.9203539823,example_0000,natural,0,4096,sink_stress
9,7,4.827976226806641e-06,0.9995549321174622,4.829062802319452e-06,207033.93827160494,example_0000,natural,0,4096,sink_stress
9,8,0.001013040542602539,0.9837059378623962,0.00101284639155893,971.0430101200283,example_0000,natural,0,4096,sink_stress
9,9,0.0005820393562316895,0.9934278726577759,0.0005819809403476986,1706.805325140809,example_0000,natural,0,4096,sink_stress
9,10,0.0007019639015197754,0.968592643737793,0.0007020583478028172,1379.8325549800459,example_0000,natural,0,4096,sink_stress
9,11,3.439188003540039e-05,0.590356707572937,3.4382358763288605e-05,17165.584055459272,example_0000,natural,0,4096,sink_stress
9,12,0.001318514347076416,0.6697904467582703,0.0013187979592703012,507.9887437276796,example_0000,natural,0,4096,sink_stress
