layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,correct_location,total_tokens,experiment
6,8,3.6776065826416016e-05,0.6936317682266235,3.67730279316477e-05,18860.956239870342,example_0000,natural,front,4096,competition_sweep
6,9,1.609325408935547e-05,0.19120573997497559,1.6094671960184403e-05,11881.111111111111,example_0000,natural,front,4096,competition_sweep
6,10,2.276897430419922e-05,0.2851603627204895,2.277048625479268e-05,12524.075916230366,example_0000,natural,front,4096,competition_sweep
6,11,0.0002060532569885254,0.6959103345870972,0.00020608007149672968,3377.3323691061614,example_0000,natural,front,4096,competition_sweep
6,12,1.1563301086425781e-05,0.4336162209510803,1.1562450643533818e-05,37499.345360824744,example_0000,natural,front,4096,competition_sweep
6,13,4.374980926513672e-05,0.26431113481521606,4.375051596104058e-05,6041.423705722071,example_0000,natural,front,4096,competition_sweep
7,0,2.6226043701171875e-06,0.8457061648368835,2.622338341483044e-06,322468.0681818182,example_0000,natural,front,4096,competition_sweep
7,1,7.492303848266602e-05,0.7004091739654541,7.492331536087706e-05,9348.381861575179,example_0000,natural,front,4096,competition_sweep
7,2,9.834766387939453e-06,0.7998197078704834,9.833467545266133e-06,81325.74545454545,example_0000,natural,front,4096,competition_sweep
7,3,2.5212764739990234e-05,0.392106294631958,2.521812184967233e-05,15551.895981087471,example_0000,natural,front,4096,competition_sweep
7,4,4.1961669921875e-05,0.5352576375007629,4.195337787860361e-05,12755.870738636364,example_0000,natural,front,4096,competition_sweep
7,5,6.794929504394531e-06,0.6845835447311401,6.796701882525447e-06,100749.17543859649,example_0000,natural,front,4096,competition_sweep
7,6,1.1920928955078125e-05,0.11841410398483276,1.1919712630032146e-05,9933.295,example_0000,natural,front,4096,competition_sweep
7,7,3.4570693969726562e-06,0.6787117123603821,3.456334340517106e-06,196325.74137931035,example_0000,natural,front,4096,competition_sweep
7,8,0.0004850029945373535,0.49289369583129883,0.00048492391396590405,1016.2693867518742,example_0000,natural,front,4096,competition_sweep
7,9,1.704692840576172e-05,0.7573395371437073,1.7044681141693268e-05,44426.744755244756,example_0000,natural,front,4096,competition_sweep
7,10,9.059906005859375e-06,0.344485878944397,9.059191085755972e-06,38023.11842105263,example_0000,natural,front,4096,competition_sweep
7,11,5.364418029785156e-07,0.68798828125,5.364690785481931e-07,1282503.111111111,example_0000,natural,front,4096,competition_sweep
7,12,3.0994415283203125e-06,0.5952232480049133,3.1001936070907627e-06,192042.09615384616,example_0000,natural,front,4096,competition_sweep
7,13,0.0007560253143310547,0.39453238248825073,0.0007561982591581577,521.850756859035,example_0000,natural,front,4096,competition_sweep
8,0,0.00014507770538330078,0.24060916900634766,0.00014507075328316452,1658.4847986852917,example_0000,natural,front,4096,competition_sweep
8,1,1.2099742889404297e-05,0.1777658462524414,1.2100140284138712e-05,14691.704433497536,example_0000,natural,front,4096,competition_sweep
