layer,cosine_similarity,example_id,filler_type,position_ratio,total_tokens,experiment
7,0.99263334,example_0002,natural,0.3,4096,position_sweep
8,0.991907,example_0002,natural,0.3,4096,position_sweep
9,0.99215025,example_0002,natural,0.3,4096,position_sweep
10,0.99090725,example_0002,natural,0.3,4096,position_sweep
11,0.9873357,example_0002,natural,0.3,4096,position_sweep
12,0.9833244,example_0002,natural,0.3,4096,position_sweep
13,0.9824311,example_0002,natural,0.3,4096,position_sweep
14,0.98239875,example_0002,natural,0.3,4096,position_sweep
15,0.98019123,example_0002,natural,0.3,4096,position_sweep
16,0.9758823,example_0002,natural,0.3,4096,position_sweep
17,0.9818444,example_0002,natural,0.3,4096,position_sweep
18,0.98489445,example_0002,natural,0.3,4096,position_sweep
19,0.97798234,example_0002,natural,0.3,4096,position_sweep
20,0.98385394,example_0002,natural,0.3,4096,position_sweep
21,0.9852981,example_0002,natural,0.3,4096,position_sweep
22,0.98364556,example_0002,natural,0.3,4096,position_sweep
23,0.97416973,example_0002,natural,0.3,4096,position_sweep
0,0.99978894,example_0003,natural,0.3,4096,position_sweep
1,0.99946386,example_0003,natural,0.3,4096,position_sweep
2,0.9990167,example_0003,natural,0.3,4096,position_sweep
3,0.99856704,example_0003,natural,0.3,4096,position_sweep
4,0.99781823,example_0003,natural,0.3,4096,position_sweep
5,0.9941267,example_0003,natural,0.3,4096,position_sweep
6,0.99240345,example_0003,natural,0.3,4096,position_sweep
7,0.9900915,example_0003,natural,0.3,4096,position_sweep
8,0.989253,example_0003,natural,0.3,4096,position_sweep
9,0.98789805,example_0003,natural,0.3,4096,position_sweep
10,0.9874954,example_0003,natural,0.3,4096,position_sweep
11,0.98523265,example_0003,natural,0.3,4096,position_sweep
12,0.9808316,example_0003,natural,0.3,4096,position_sweep
13,0.97551966,example_0003,natural,0.3,4096,position_sweep
14,0.9787446,example_0003,natural,0.3,4096,position_sweep
15,0.9759673,example_0003,natural,0.3,4096,position_sweep
16,0.97593296,example_0003,natural,0.3,4096,position_sweep
17,0.98298204,example_0003,natural,0.3,4096,position_sweep
18,0.9859199,example_0003,natural,0.3,4096,position_sweep
19,0.985124,example_0003,natural,0.3,4096,position_sweep
20,0.9895824,example_0003,natural,0.3,4096,position_sweep
21,0.9922968,example_0003,natural,0.3,4096,position_sweep
22,0.99158466,example_0003,natural,0.3,4096,position_sweep
23,0.98757994,example_0003,natural,0.3,4096,position_sweep
0,0.99987507,example_0004,natural,0.3,4096,position_sweep
1,0.99957514,example_0004,natural,0.3,4096,position_sweep
2,0.99897695,example_0004,natural,0.3,4096,position_sweep
3,0.99734974,example_0004,natural,0.3,4096,position_sweep
4,0.9965407,example_0004,natural,0.3,4096,position_sweep
5,0.9925377,example_0004,natural,0.3,4096,position_sweep
6,0.99041426,example_0004,natural,0.3,4096,position_sweep
7,0.98890865,example_0004,natural,0.3,4096,position_sweep
8,0.9874194,example_0004,natural,0.3,4096,position_sweep
9,0.98644215,example_0004,natural,0.3,4096,position_sweep
10,0.9867909,example_0004,natural,0.3,4096,position_sweep
11,0.984964,example_0004,natural,0.3,4096,position_sweep
12,0.9820475,example_0004,natural,0.3,4096,position_sweep
13,0.9793557,example_0004,natural,0.3,4096,position_sweep
14,0.9768613,example_0004,natural,0.3,4096,position_sweep
15,0.96828127,example_0004,natural,0.3,4096,position_sweep
16,0.9688757,example_0004,natural,0.3,4096,position_sweep
17,0.9771487,example_0004,natural,0.3,4096,position_sweep
18,0.97956634,example_0004,natural,0.3,4096,position_sweep
19,0.97566456,example_0004,natural,0.3,4096,position_sweep
20,0.97607774,example_0004,natural,0.3,4096,position_sweep
21,0.9812898,example_0004,natural,0.3,4096,position_sweep
22,0.9801367,example_0004,natural,0.3,4096,position_sweep
23,0.9689429,example_0004,natural,0.3,4096,position_sweep
0,0.9997891,example_0005,natural,0.3,4096,position_sweep
1,0.999608,example_0005,natural,0.3,4096,position_sweep
2,0.99907297,example_0005,natural,0.3,4096,position_sweep
3,0.99773854,example_0005,natural,0.3,4096,position_sweep
4,0.99650395,example_0005,natural,0.3,4096,position_sweep
5,0.99402416,example_0005,natural,0.3,4096,position_sweep
6,0.9912448,example_0005,natural,0.3,4096,position_sweep
7,0.99066585,example_0005,natural,0.3,4096,position_sweep
8,0.9896065,example_0005,natural,0.3,4096,position_sweep
9,0.9881001,example_0005,natural,0.3,4096,position_sweep
10,0.9883032,example_0005,natural,0.3,4096,position_sweep
11,0.9860604,example_0005,natural,0.3,4096,position_sweep
12,0.98036784,example_0005,natural,0.3,4096,position_sweep
13,0.9775419,example_0005,natural,0.3,4096,position_sweep
14,0.9820228,example_0005,natural,0.3,4096,position_sweep
15,0.9796156,example_0005,natural,0.3,4096,position_sweep
16,0.9781764,example_0005,natural,0.3,4096,position_sweep
17,0.9833587,example_0005,natural,0.3,4096,position_sweep
18,0.98508054,example_0005,natural,0.3,4096,position_sweep
